@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/nftzq,Test Component [ANG-905],2025-10-08,2025-10-08,,United States,0,https://test.osf.io/nvxzg,Josh Hernandez,,,,,
https://test.osf.io/mqpg2,Test Project,2024-07-30,2025-02-06,,United States,16306,https://test.osf.io/4yjuh ; https://test.osf.io/b4vph ; https://test.osf.io/jwcfx ; https://test.osf.io/kzqhy ; https://test.osf.io/m2xzw ; https://test.osf.io/sfjny ; https://test.osf.io/t82fv ; https://test.osf.io/v7haf ; https://test.osf.io/w43v2,Mark (Read) ; Selenium Test Edge ; Selenium Framework Testing Chrome Two ; Ramyashri Virajamangala ; Read Only Read ; Write &amp;Read Write ; OSFTesting+Read+Write+User ; Mark Read ; Selenium Edge Deprecated4,,,CC0 1.0 Universal,,NFL Charities
https://test.osf.io/hu3fj,Test for existing behavior,2019-04-22,2019-04-22,,United States,0,https://test.osf.io/b67y5 ; https://test.osf.io/mfnwq,Dawn Pattison 50 ; Dawn Pattison,,,,,
https://test.osf.io/rxcpf,Canopy measurements within Shenandoah National Park,2024-01-30,2025-09-17,,Canada - Montréal,20855822,https://test.osf.io/cdr63 ; https://test.osf.io/uaq64,Eric Olson ; Clark Kent,1,,CC-By Attribution 4.0 International,Github,
https://test.osf.io/3zrqe,Node 1,2019-12-26,2019-12-27,,United States,0,https://test.osf.io/gmea2 ; https://test.osf.io/rzbkw,Amanda Test Liscouski ; Pomona Sprout,,,,,
https://test.osf.io/pxe96,Verified Resource Links Test,2025-07-08,2025-10-01,,United States,2067127,https://test.osf.io/5ckty ; https://test.osf.io/kzqhy ; https://test.osf.io/t82fv ; https://test.osf.io/zkx2f,OSFTestingReadOnlyUser ; Ramyashri Virajamangala ; OSFTesting+Read+Write+User ; ramya+newuser,,,CC0 1.0 Universal,Google Drive ; S3,
https://test.osf.io/tb5s4,sdfsa,2021-09-29,2021-10-05,,United States,0,https://test.osf.io/fs8ux,Daniel Steger,,,,,
https://test.osf.io/zp37h,c5,2020-11-16,2021-03-23,,United States,0,https://test.osf.io/kbc2d,Matt,3,,,,
https://test.osf.io/s3wm4,New Research Project,2025-02-18,2025-02-19,,United States,0,https://test.osf.io/wjqbp,My Researcher,,,,,
https://test.osf.io/mux8d,filtoast,2019-11-19,2024-05-13,,United States,908849,https://test.osf.io/kxu2z,Abram Booth,,,No license,,
https://test.osf.io/sdtep,Timeline Snapshot,2023-10-16,2023-10-16,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC-By Attribution-NonCommercial-NoDerivatives 4.0 International,,
https://test.osf.io/4xmvn,Gitlab Addon,2025-02-25,2025-10-03,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,,GitLab,
https://test.osf.io/sx8wb,Character Lab Collection Moderation Demo,2023-01-04,2023-09-28,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC0 1.0 Universal,,
https://test.osf.io/3wgxc,Fork of test contributor,2021-07-21,2025-03-28,,United States,1791113,https://test.osf.io/cdr63,Eric Olson,,,CC0 1.0 Universal,GitLab ; Onedrive,
https://test.osf.io/e4xw2,Test,2019-06-26,2019-06-27,,Germany - Frankfurt,8,https://test.osf.io/mfnwq,Dawn Pattison,,,,,
https://test.osf.io/hsfcp,Timeline snapshot,2023-10-13,2023-10-13,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC-By Attribution-NonCommercial-NoDerivatives 4.0 International,,
https://test.osf.io/zh5qj,"Global Flourishing Outcome Data, US",2024-09-20,2025-02-18,,United States,30526982,https://test.osf.io/cdr63,Eric Olson,,,Eclipse Public License 1.0,,
https://test.osf.io/z9jg5,Study 1,2025-10-15,2025-10-15,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,Academic Free License (AFL) 3.0,,
https://test.osf.io/utz25,Timeline snapshot,2023-10-16,2023-10-16,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC-By Attribution-NonCommercial-NoDerivatives 4.0 International,,
https://test.osf.io/3ygum,My Research Project,2025-02-18,2025-02-19,,United States,0,https://test.osf.io/wjqbp,My Researcher,,,,,
https://test.osf.io/ehq3v,Grant Project Data,2025-02-18,2025-02-19,,United States,0,https://test.osf.io/wjqbp,My Researcher,,,,,Archival Education and Research Institute
https://test.osf.io/e46qc,Fork of Test DOI 2 June 12 25,2025-08-11,2025-08-11,,United States,0,https://test.osf.io/8627p,Mark (Write),,,CC0 1.0 Universal,,
https://test.osf.io/z2mtd,test 3- embargo,2021-09-20,2021-12-31,,United States,15903,https://test.osf.io/fs8ux,Daniel Steger,,,CC0 1.0 Universal,,
https://test.osf.io/bygpe,Preprint Phase 2,2024-03-19,2024-05-24,,United States,310053,https://test.osf.io/dgj72,Longze Chen - Super,1,,,,
https://test.osf.io/rf3zp,Test registration submission,2024-10-08,2025-02-06,,United States,16306,https://test.osf.io/kzqhy ; https://test.osf.io/t82fv,Ramyashri Virajamangala ; OSFTesting+Read+Write+User,,,CC-By Attribution 4.0 International,,
https://test.osf.io/vmugq,Analysis,2019-11-15,2019-11-16,,United States,0,https://test.osf.io/3pwky ; https://test.osf.io/783bw,Sara Bowman ; Nici Product,,,,,
https://test.osf.io/knfqz,Test,2020-07-02,2020-10-09,,United States,351663,https://test.osf.io/g9hjn,Kayla Brown,,,,,
https://test.osf.io/3xuks,test,2022-03-28,2022-05-02,https://doi.org/10.70102/FK2OSF.IO/3XUKS,United States,26854584,https://test.osf.io/fs8ux,Daniel Steger,,,,,
https://test.osf.io/5za2n,germany,2019-06-03,2019-10-16,https://doi.org/10.70102/OSF.IO/5ZA2N,Germany - Frankfurt,0,https://test.osf.io/3pwky ; https://test.osf.io/ahe9k ; https://test.osf.io/xgdn4,Sara Bowman ; Eric Test ; Sara Registered,,,,Google Drive,
https://test.osf.io/cj84f,test,2019-02-04,2019-02-04,,United States,0,https://test.osf.io/5jqnu,Rebecca Rosenblatt,,,,,
https://test.osf.io/wkh6u,With Addons,2020-01-16,2020-01-16,,Canada - Montréal,17861,https://test.osf.io/rx4vp,Blue Middle Family,,,,Bitbucket ; Box ; Dropbox ; Google Drive,
https://test.osf.io/sg8z4,Josh Testing,2025-10-07,2025-11-12,,United States,0,https://test.osf.io/5bs47 ; https://test.osf.io/nvxzg,Sagittarius the Archer ; Josh Hernandez,2,,No license,,
https://test.osf.io/zxgqv,Bulk Upload Test - Read-write  Initiator,2021-12-21,2021-12-21,,United States,0,https://test.osf.io/dgj72 ; https://test.osf.io/qs75f ; https://test.osf.io/t49sy ; https://test.osf.io/xcrs8,Longze Chen - Super ; LC Test - WRITE Contributor ; LC Test - READ Contributor ; LC Test - Institutions,,,,,
https://test.osf.io/eym7s,Test Test 22,2022-09-06,2023-09-28,,United States,3546,https://test.osf.io/atryg ; https://test.osf.io/fs8ux,Blaine Butler ; Daniel Steger,,,CC-By Attribution 4.0 International,,
https://test.osf.io/3jxv2,Provider - GitLab - Scope test,2020-03-31,2021-02-05,,United States,0,https://test.osf.io/vte3j,Fitz Elliott,,,,GitLab,
https://test.osf.io/vtnyz,blanktest,2023-03-14,2023-06-05,,United States,0,https://test.osf.io/kbc2d ; https://test.osf.io/mqxd5,Matt ; Marth Flounder,,,,,
https://test.osf.io/8cpzw,User Support Test,2020-03-31,2021-03-23,,United States,3313044,https://test.osf.io/mraqk,Bri L Luis,,,,Google Drive,
https://test.osf.io/begwy,DC Test - New Public Project - 09192022,2022-09-19,2023-02-20,,United States,216953,https://test.osf.io/e3sfk,DC Test  Emu,,,,,
